filename,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
Lepidocyrtus cyaneus (1left) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,left
Sinella baca (6label) COLL-0011.jpg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,label
Reticulitermes hesperus (2ventral) .jpg,SEM-UBC ISO-0130,0.9159425703186775,Reticulitermes hesperus,,ventral
Tragosoma depsarium (1dorsal).jpg,SEM-UBC COL-9815,0.751205665965384,Tragosoma depsarium,,dorsal
Necrophilus hydrophiloides form B (3lateral) .jpg,SEM-UBC COL-28997,0.9771686461598821,Necrophilus hydrophiloides form B,,lateral
Parcoblatta pennsylvanica (3lateral) SEM-UBC DIC-0186.jpg,SEM-UBC DIC-0186,FROM FILENAME,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,lateral
Lamprochernes minor (6fullslide).jpeg,SEM-UBC PSEU-0002,0.6850451054681209,Lamprochernes minor,,fullslide
Climaciella brunnea (3lateral).jpg,SEM-UBC NEU-0911,0.5221885345119929,Climaciella brunnea,,lateral
Ipelates latus form B (1dorsal) .jpg,SEM-UBC COL-28995,0.9928555858450353,Ipelates latus form B,,dorsal
Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,OCR FAILED,0,Eureum spenceri Allotype,,label
Aphodius pedellus (4front).jpeg,SEM-UBC COL-27515,0.9978523658839346,Aphodius pedellus,,front
Apteroloma tenuicorne (1dorsal) .jpg,SEM-UBC COL-28992,0.9137337643971366,Apteroloma tenuicorne,,dorsal
Amphizoa striata (1dorsal).jpg,SEM-UBC COL-0090,0.9519425276185075,Amphizoa striata,,dorsal
Nyctibora sp form A (1dorsal) .jpg,SEM-UBC DIC-0073,0.8802068978857726,Nyctibora sp form A,,dorsal
Sinella baca (3left) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,left
Blattella vaga (3lateral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Blattella vaga,SEM-UBC DIC-0172,lateral
Euthyrrhapha pacifica (3lateral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Euthyrrhapha pacifica,SEM-UBC DIC-0172,lateral
Periplaneta americana nymph (1dorsal) .jpg,SEM-UBC DIC-0027,0.8045333949907059,Periplaneta americana nymph,,dorsal
Scoliopteryx libatrix (2ventral).jpg,SEM-UBC NOC-0941,0.8835096023267653,Scoliopteryx libatrix,,ventral
Pteroloma nebrioides (1dorsal) .jpg,SEM-UBC COL-28998,0.7344155978687424,Pteroloma nebrioides,,dorsal
Periplaneta americana (3lateral) .jpg,SEM-UBC DIC-0039,0.9524028573133,Periplaneta americana,,lateral
Dicyrtoma sp. (6label) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,label
Ptenothrix unicolor (1left) COLL-0004.jpg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,left
Pycnoscelus surinamensis (2ventral) .jpg,SEM-UBC DIC-0072,0.9866369413549505,Pycnoscelus surinamensis,,ventral
