filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Pteroloma nebrioides (4front) .jpg,Pteroloma nebrioides,0.8093886994782455,SEM-UBC COL-28998,0.9982957795588459,front,0.8093886994782455,Pteroloma nebrioides,,front,True,,True,True
Isotoma viridis (1left) COLL-0005.jpeg,Isotoma viridis,0.9886132850708408,SEM-UBC COLL-0005,0.8400589104158752,left,0.9886132850708408,Isotoma viridis,,left,True,,True,True
Blattella germanica (2ventral) .jpg,Blatella germanica,0.8534344512200972,SEM-UBC DIC-0112,0.7474611111493894,ventral,0.8534344512200972,Blattella germanica,,ventral,False,,True,False
Blatta orientalis nymph (2ventral) .jpg,Blatta orientalis nymph,0.9994197722386354,SEM-UBC DIC-0016,0.832704997854432,ventral,0.9994197722386354,Blatta orientalis nymph,,ventral,True,,True,True
Panchlora sp Form B (3lateral) .jpg,Panchlora Sp form B,0.4520858339655151,SEM-UBC DIC-0069,0.7631481981133533,Fteral,0.4520858339655151,Panchlora sp Form B,,lateral,True,,False,False
Nyctibora sp form B (1dorsal) .jpg,Nyctibora Sp form B,0.9818466359946816,SEM-UBC DIC-0078,0.9176034458054307,dorsal,0.9818466359946816,Nyctibora sp form B,,dorsal,True,,True,True
Blatta orientalis (2ventral) .jpg,Blatta orientalis,0.8859443715842887,SEM-UBC DIC-0001,0.9220429931486956,ventral,0.8859443715842887,Blatta orientalis,,ventral,True,,True,True
Climaciella brunnea (1dorsal).jpg,Climaciella brunnea,0.9814673970609539,SEM-UBC NEU-0911,0.9589249511799803,dorsal,0.9814673970609539,Climaciella brunnea,,dorsal,True,,True,True
Euthyrrhapha pacifica (2ventral) SEM-UBC DIC-0172.jpg,Euthyrrhapa pacifica,0.8385621264607012,SEM-UBC DIC-0172,0.5816115642343933,ventral,0.8385621264607012,Euthyrrhapha pacifica,SEM-UBC DIC-0172,ventral,False,True,True,False
Caenurgina careulea (1dorsal).jpg,Caenurgina careulea,0.9803734335804607,SEM-UBC NOC-0946,0.6529837165825857,dorsal,0.9803734335804607,Caenurgina careulea,,dorsal,True,,True,True
Ipelates latus form A (1dorsal) .jpg,Ipelates latus form A,0.8900919151548666,SEM-UBC COL-28994,0.8114613980002972,dorsal,0.8900919151548666,Ipelates latus form A,,dorsal,True,,True,True
Leptomantispa pulchella (3lateral).jpg,Leptomantispa pulchella,0.8082604162068917,SEM-UBC NEU-0917,0.8432021106509322,lateral,0.8082604162068917,Leptomantispa pulchella,,lateral,True,,True,True
Agyrtes longulus (1dorsal) .jpg,Agyrtes longulus,0.9599269819733481,SEM-UBC COL-28989,0.9988754874928562,dorsal,0.9599269819733481,Agyrtes longulus,,dorsal,True,,True,True
Aegialia crassa (3lateral) .jpeg,Aegialia crassa,0.7112293751463026,SEM-UBC COL-27498,0.6394953210183594,lateral,0.7112293751463026,Aegialia crassa,,lateral,True,,True,True
Folsomia fimetaria (1left) COLL-0008.jpeg,Folsomia fimetaria,0.7967933151532491,SEM-UBC COLL-0008,0.7488909411378142,left,0.7967933151532491,Folsomia fimetaria,,left,True,,True,True
Aderus populneus (4front).jpg,Aderus brunnipennis,0.8952166357801536,SEM-UBC COL-28948,0.998714803318708,front,0.8952166357801536,Aderus populneus,,front,False,,True,False
Amphizoa lecontei (3lateral).jpg,Amphizoa lecontei,0.7747296056986573,SEM-UBC COL-0057,0.7977915784034283,lateral,0.7747296056986573,Amphizoa lecontei,,lateral,True,,True,True
Blattella vaga (2ventral) SEM-UBC DIC-0172.jpg,Blattella vaga,0.9472103352262897,SEM-UBC DIC-0172,0.9909053372998232,ventral,0.9472103352262897,Blattella vaga,SEM-UBC DIC-0172,ventral,True,True,True,True
Parcoblatta pennsylvanica (1dorsal) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica,0.8379201179089604,SEM-UBC DIC-0186,0.8355270723784037,dorsal,0.8379201179089604,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,dorsal,True,True,True,True
Cryptotermes brevis (1dorsal) wings only.jpg,Cryptotermes brevis,0.7975980210857673,SEM-UBC ISO-0050,0.601638694708432,dorsal,0.7975980210857673,Cryptotermes brevis,,dorsal,True,,True,True
Isotoma viridis (6fullslide) COLL-0005.jpeg,Isotoma viridis,0.9765000110378448,SEM-UBC COLL-0005,0.782060521620341,full slide,0.9765000110378448,Isotoma viridis,,fullslide,True,,True,True
