filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Agyrtes longulus (4front).jpg,Agyrtes longulus,0.7988034443013737,SEM-UBC COL-28989,0.9888465741677772,front,0.7988034443013737,Agyrtes longulus,,front,True,,True,True
Tomocerus brevimucronatus (2right) COLL-0012.jpeg,Tomocerus brevimucronatus,0.999099747633278,SEM-UBC COLL-0012,0.9879885498943107,right,0.999099747633278,Tomocerus brevimucronatus,,right,True,,True,True
Paruroctonus boreus (2ventral) SCO-0001.jpeg,Paruroctonus boreus,0.9904571529828852,SEM-UBC SCO-0001,0.9981257271065065,ventral,0.9904571529828852,Paruroctonus boreus,,ventral,True,,True,True
Amphizoa lecontei (1dorsal).jpg,Amphizoa lecontei,0.9421017046887191,SEM-UBC COL-0057,0.9116937819546209,dorsal,0.9421017046887191,Amphizoa lecontei,,dorsal,True,,True,True
Periplaneta australasiae nymph (3lateral) .jpg,Periplaneta australasiae nymph,0.9895350541424033,SEM-UBC DIC-0051,0.8321581074855103,lateral,0.9895350541424033,Periplaneta australasiae nymph,,lateral,True,,True,True
Periplaneta americana nymph (3lateral) .jpg,Periplaneta americana nymph,0.853830155020427,SEM-UBC DIC-0027,0.9673214679671925,lateral,0.853830155020427,Periplaneta americana nymph,,lateral,True,,True,True
Zootermopsis angusticollis form B (3lateral) .jpg,Zootermopsis angusticollis form B,0.7857586231946281,SEM-UBC ISO-0005,0.5537192375021873,lateral,0.7857586231946281,Zootermopsis angusticollis form B,,lateral,True,,True,True
Tomocerus brevimucronatus (6label) COLL-0012.jpeg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Tomocerus brevimucronatus,,label,False,,False,False
Blattella vaga (1dorsal) SEM-UBC DIC-0172.jpg,Blattella vaga,0.9504137828755181,SEM-UBC DIC-0172,0.7288599616391352,dorsal,0.9504137828755181,Blattella vaga,SEM-UBC DIC-0172,dorsal,True,True,True,True
Agulla bicolor male (3lateral).jpeg,Agulla bicolor male,0.7669254708682907,SEM-UBC RAP-0166,0.9157923951600173,lateral,0.7669254708682907,Agulla bicolor male,,lateral,True,,True,True
