filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Pteroloma nebrioides (4front) .jpg,Pteroloma nebrioides,0.8093886994782455,SEM-UBC COL-28998,0.9200018738456349,front,0.8093886994782455,Pteroloma nebrioides,,front,True,,True,True
Isotoma viridis (1left) COLL-0005.jpeg,Isotoma viridis,0.9291401016743794,SEM-UBC COLL-0005,0.9402626237268438,left,0.9291401016743794,Isotoma viridis,,left,True,,True,True
Blattella germanica (2ventral) .jpg,Blatella germanica,0.9983448857931267,SEM-UBC DIC-0112,0.7474611111493894,ventral,0.9983448857931267,Blattella germanica,,ventral,False,,True,False
Blatta orientalis nymph (2ventral) .jpg,Blatta orientalis nymph,0.9994197722386354,SEM-UBC DIC-0016,0.8847044980766519,ventral,0.9994197722386354,Blatta orientalis nymph,,ventral,True,,True,True
Panchlora sp Form B (3lateral) .jpg,Panchlora Sp form B,0.4520858339655151,SEM-UBC DIC-0069,0.7631481981133533,Fteral,0.4520858339655151,Panchlora sp Form B,,lateral,True,,False,False
Nyctibora sp form B (1dorsal) .jpg,Nyctibora sp form B,0.7390195462301424,SEM-UBC DIC-0078,0.9176034458054307,dorsal,0.7390195462301424,Nyctibora sp form B,,dorsal,True,,True,True
Blatta orientalis (2ventral) .jpg,Blatta orientalis,0.8859443715842887,SEM-UBC DIC-0001,0.8837330732316911,ventral,0.8859443715842887,Blatta orientalis,,ventral,True,,True,True
Climaciella brunnea (1dorsal).jpg,Climaciella brunnea,0.9814673970609539,SEM-UBC NEU-0911,0.7756228010794883,dorsal,0.9814673970609539,Climaciella brunnea,,dorsal,True,,True,True
Euthyrrhapha pacifica (2ventral) SEM-UBC DIC-0172.jpg,Euthyrrhapa pacifica,0.6188149790501907,SEM-UBC DIC-0172,0.9901748546936512,ventral,0.6188149790501907,Euthyrrhapha pacifica,SEM-UBC DIC-0172,ventral,False,True,True,False
Caenurgina careulea (1dorsal).jpg,Caenurgina careulea,0.9773772743914521,SEM-UBC NOC-0946,0.8309390052588207,dorsal,0.9773772743914521,Caenurgina careulea,,dorsal,True,,True,True
Ipelates latus form A (1dorsal) .jpg,Ipelates latus form A,0.9652695269827745,SEM-UBC COL-28994,0.8114613980002972,dorsal,0.9652695269827745,Ipelates latus form A,,dorsal,True,,True,True
Leptomantispa pulchella (3lateral).jpg,Leptomantispa pulchella,0.8082604162068917,SEM-UBC NEU-0917,0.8197007193436155,lateral,0.8082604162068917,Leptomantispa pulchella,,lateral,True,,True,True
Agyrtes longulus (1dorsal) .jpg,Agyrtes longulus,0.7337996071437654,SEM-UBC COL-28989,0.9988754874928562,dorsal,0.7337996071437654,Agyrtes longulus,,dorsal,True,,True,True
Aegialia crassa (3lateral) .jpeg,Aegialia crassa,0.8981623859114493,SEM-UBC COL-27498,0.967954541382222,lateral,0.8981623859114493,Aegialia crassa,,lateral,True,,True,True
Folsomia fimetaria (1left) COLL-0008.jpeg,Folsomia fimetaria var: dentata,0.8619661506518737,SEM-UBC COLL-0008,0.9963171596429788,left,0.8619661506518737,Folsomia fimetaria,,left,False,,True,False
Aderus populneus (4front).jpg,Aderus brunnipennis,0.8952166357801536,SEM-UBC COL-28948,0.998714803318708,front,0.8952166357801536,Aderus populneus,,front,False,,True,False
Amphizoa lecontei (3lateral).jpg,Amphizoa lecontei,0.9462312109513566,SEM-UBC COL-0057,0.598050722387454,lateral,0.9462312109513566,Amphizoa lecontei,,lateral,True,,True,True
Blattella vaga (2ventral) SEM-UBC DIC-0172.jpg,Blattella vaga,0.9996536308822331,SEM-UBC DIC-0172,0.9973330906050916,ventral,0.9996536308822331,Blattella vaga,SEM-UBC DIC-0172,ventral,True,True,True,True
Parcoblatta pennsylvanica (1dorsal) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica,0.8876633460794799,SEM-UBC DIC-0186,0.9232199455998353,dorsal,0.8876633460794799,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,dorsal,True,True,True,True
Cryptotermes brevis (1dorsal) wings only.jpg,Cryptotermes brevis,0.7975980210857673,SEM-UBC ISO-0050,0.825650529611872,dorsal,0.7975980210857673,Cryptotermes brevis,,dorsal,True,,True,True
Isotoma viridis (6fullslide) COLL-0005.jpeg,Isotoma viridis,0.8794652461345944,SEM-UBC COLL-0005,0.9047608704428706,full slide,0.8794652461345944,Isotoma viridis,,fullslide,True,,True,True
Pteroloma nebrioides (3lateral) .jpg,Pteroloma nebrioides,0.9961258426227966,SEM-UBC COL-28998,0.4610587859325973,lateral,0.9961258426227966,Pteroloma nebrioides,,lateral,True,,True,True
Ptenothrix unicolor (2right) COLL-0004.jpeg,Ptenothrix unicolor,0.9853430898536739,SEM-UBC COLL-0004,0.9445479196228181,right,0.9853430898536739,Ptenothrix unicolor,,right,True,,True,True
Aegialia conferta (3lateral)   SEM-UBC COL-32354.jpeg,Aegialia conferta,0.8340241177012853,SEM-UBC COL-32354,0.9720767334410958,lateral,0.8340241177012853,Aegialia conferta,SEM-UBC COL-32354,lateral,True,True,True,True
Tomocerus brevimucronatus (5full) COLL-0012.jpeg,Tomocerus brevimucronatus,0.8182285123555175,SEM-UBC COLL-0012,0.9643499942435656,full,0.8182285123555175,Tomocerus brevimucronatus,,full,True,,True,True
Supella longipalpa form B (3lateral) .jpg,Supella longipalpa form B,0.7592991299465662,SEM-UBC DIC-0090,0.9772549673278907,lateral,0.7592991299465662,Supella longipalpa form B,,lateral,True,,True,True
Ptenothrix unicolor (2right) COLL-0004.jpg,Ptenothrix unicolor,0.9853430898536739,SEM-UBC COLL-0004,0.9445479196228181,right,0.9853430898536739,Ptenothrix unicolor,,right,True,,True,True
Aegialia blanchardi (4front).jpeg,Aegialia blanchardi,0.7293212593874051,SEM-UBC COL-27497,0.9248909179441728,front,0.7293212593874051,Aegialia blanchardi,,front,True,,True,True
Hemerobius bistrigatus (2ventral).jpeg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Hemerobius bistrigatus,,ventral,False,,False,False
Paruroctonus boreus (5claw) SCO-0001.jpeg,Paruroctonus boreus,0.9053378339482875,SEM-UBC SCO-0001,0.9707139696330429,claw,0.9053378339482875,Paruroctonus boreus,,claw,True,,True,True
Apteroloma caraboides (3lateral) .jpg,Apteroloma caraboides,0.7174218638053959,SEM-UBC COL-28991,0.911323229085013,lateral,0.7174218638053959,Apteroloma caraboides,,lateral,True,,True,True
Aderus populneus (3lateral) .jpg,Aderus brunnipennis,0.35172035416140446,SEM-UBC COL-28948,0.782535331872241,arelrall,0.35172035416140446,Aderus populneus,,lateral,False,,False,False
Amphizoa striata (2ventral).jpg,Amphizoa striata,0.9565304255423369,SEM-UBC COL-0090,0.8238390442482053,ventral,0.9565304255423369,Amphizoa striata,,ventral,True,,True,True
Apteroloma caraboides (1dorsal) .jpg,Apteroloma caraboides,0.9991231063589141,SEM-UBC COL-28991,0.8380301269820815,dorsal,0.9991231063589141,Apteroloma caraboides,,dorsal,True,,True,True
