id,file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
30924,images/Coleoptera/Scarabaeidae/Phobetus comatus (4front).jpg,Phobetus comatus (4front).jpg,SEMAUBC COL-27572,0.660540208496468,Phobetus comatus,,front
31045,images/Coleoptera/Scarabaeidae/Dichelonyx backii backii form B (1dorsal) .jpg,Dichelonyx backii backii form B (1dorsal) .jpg,SEM-UBC CO1-27735,0.437206790107029,Dichelonyx backii backii form B,,dorsal
31076,images/Coleoptera/Scarabaeidae/Phyllophaga anxia (4front).jpg,Phyllophaga anxia (4front).jpg,SEM-UBC COL-21,0.39621157571328786,Phyllophaga anxia,,front
31083,images/Coleoptera/Scarabaeidae/Trichiotinus assimilis (1dorsal) .jpg,Trichiotinus assimilis (1dorsal) .jpg,"SEM-UBC COL""27591",0.7697427699221306,Trichiotinus assimilis,,dorsal
31109,images/Coleoptera/Scarabaeidae/Aegialia opaca female Paratype (1dorsal) .jpg,Aegialia opaca female Paratype (1dorsal) .jpg,"SEM-UBC COL""27502",0.7450925037929789,Aegialia opaca female Paratype,,dorsal
31133,images/Coleoptera/Scarabaeidae/Copris remotus (3lateral) Copris remotus (3lateral).jpg,Copris remotus (3lateral) Copris remotus (3lateral).jpg,OCR FAILED,0,Copris remotus,,lateral
31169,images/Coleoptera/Scarabaeidae/Euphoria inda form C (4front).jpg,Euphoria inda form C (4front).jpg,OCR FAILED,0,Euphoria inda form C,,front
31172,images/Coleoptera/Scarabaeidae/Serica sericea (3lateral) .jpg,Serica sericea (3lateral) .jpg,"SEM-UBC COL""27588",0.7897798349988252,Serica sericea,,lateral
31207,images/Coleoptera/Scarabaeidae/Dichelonyx vaga male (5genitalia) .jpg,Dichelonyx vaga male (5genitalia) .jpg,OCR FAILED,0,Dichelonyx vaga male,,genitalia
31218,images/Coleoptera/Scarabaeidae/Macrodactylus subspinosus (4front).jpg,Macrodactylus subspinosus (4front).jpg,SEM,0.9774708803793841,Macrodactylus subspinosus,,front
31303,images/Coleoptera/Scarabaeidae/Diplotaxis brevicollis (4front).jpg,Diplotaxis brevicollis (4front).jpg,OCR FAILED,0,Diplotaxis brevicollis,,front
31395,images/Coleoptera/Scarabaeidae/Oxyomus silvestris (4front).jpg,Oxyomus silvestris (4front).jpg,SEM-UBC COL 27569,0.512886009259547,Oxyomus silvestris,,front
31529,images/Coleoptera/Cryptophagidae/Cryptophagus difficilis (3lateral) .jpg,Cryptophagus difficilis (3lateral) .jpg,OCR FAILED,0,Cryptophagus difficilis,,lateral
32046,images/Coleoptera/Gyrinidae/Gyrinus bifarius male (1dorsal).jpg,Gyrinus bifarius male (1dorsal).jpg,SEMUBC COL-0503,0.86738553234654,Gyrinus bifarius male,,dorsal
32233,images/Coleoptera/Haliplidae/Haliplus distinctus male (2ventral).jpg,Haliplus distinctus male (2ventral).jpg,SEM-UBC COL;3104,0.6884830433617175,Haliplus distinctus male,,ventral
32335,images/Coleoptera/Histeridae/Plegaderus molestus (3lateral) .jpg,Plegaderus molestus (3lateral) .jpg,SEMAUBC CO-27716,0.5431396794229927,Plegaderus molestus,,lateral
32447,images/Coleoptera/Histeridae/Hister sp 4 (3lateral) .jpg,Hister sp 4 (3lateral) .jpg,SEM-UBC COL.27730,0.6708335903875026,Hister sp 4,,lateral
32450,images/Coleoptera/Histeridae/Plegaderus sayi (4front).jpg,Plegaderus sayi (4front).jpg,SEM-UBC COL 27718,0.5770376772242581,Plegaderus sayi,,front
32465,images/Coleoptera/Histeridae/Gnathoncus communis (4front).jpg,Gnathoncus communis (4front).jpg,SEMUE€ COL-27693,0.13391258951700766,Gnathoncus communis,,front
32592,images/Coleoptera/Meloidae/Lytta cyanipennis form A (4front).jpg,Lytta cyanipennis form A (4front).jpg,SEM-UBG COL-25284,0.30239362701621414,Lytta cyanipennis form A,,front
32629,images/Coleoptera/Kateretidae/Heterhelus sericans (2ventral).jpg,Heterhelus sericans (2ventral).jpg,SEM-UBC,0.9449958300801342,Heterhelus sericans,,ventral
32738,images/Coleoptera/Lucanidae/Lucanus elaphus male (Dorsal).jpg,Lucanus elaphus male (Dorsal).jpg,OCR FAILED,0,Lucanus elaphus male,,Dorsal
32819,images/Coleoptera/Staphylinidae/Oxyporinae/Oxyporus stygicus (3lateral) .jpg,Oxyporus stygicus (3lateral) .jpg,SEM-UBC C0L-27205,0.44022917406512696,Oxyporus stygicus,,lateral
33023,images/Coleoptera/Staphylinidae/Aleocharinae/Aleochara bimaculata (4front).jpg,Aleochara bimaculata (4front).jpg,SEM-UBC COL0954,0.2471653878535028,Aleochara bimaculata,,front
33072,images/Coleoptera/Staphylinidae/Aleocharinae/Diaulota densissima (4front).jpg,Diaulota densissima (4front).jpg,SEMAUBC COL27024,0.24617068006661144,Diaulota densissima,,front
33128,images/Coleoptera/Staphylinidae/Aleocharinae/Gnypeta helenae (4front).jpg,Gnypeta helenae (4front).jpg,SEM-UB C COL-27057,0.4400840427219564,Gnypeta helenae,,front
33205,images/Coleoptera/Staphylinidae/Paederinae/Paederus littorarius (2ventral) .jpg,Paederus littorarius (2ventral) .jpg,SEM-UBC COL-577C0,0.5827874486877549,Paederus littorarius,,ventral
33444,images/Coleoptera/Staphylinidae/Piestinae/Siagonium americanum (3lateral) .jpg,Siagonium americanum (3lateral) .jpg,SEMUBC COL27347,0.881805020473622,Siagonium americanum,,lateral
33479,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus harneyi (1dorsal) .jpg,Carpelimus harneyi (1dorsal) .jpg,SEM PARATYPE,0.9992640843985594,Carpelimus harneyi,,dorsal
33481,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus delicatus (2ventral).jpg,Carpelimus delicatus (2ventral).jpg,OCR FAILED,0,Carpelimus delicatus,,ventral
33496,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus harneyi (2ventral) .jpg,Carpelimus harneyi (2ventral) .jpg,SEM PARATYPE,0.9999404195750456,Carpelimus harneyi,,ventral
33530,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus vancouverensis (1dorsal) _0001.jpg,Carpelimus vancouverensis (1dorsal) _0001.jpg,SEM PARATYPE,0.982949599132601,Carpelimus vancouverensis,,dorsal
33561,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus rivularis (2ventral).jpg,Carpelimus rivularis (2ventral).jpg,OCR FAILED,0,Carpelimus rivularis,,ventral
33568,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus vancouverensis (3lateral) .jpg,Carpelimus vancouverensis (3lateral) .jpg,SEM PARATYPE,0.9985610732900088,Carpelimus vancouverensis,,lateral
33598,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus harneyi (3lateral).jpg,Carpelimus harneyi (3lateral).jpg,SEM PARATYPE,0.9875411754310754,Carpelimus harneyi,,lateral
