SEM #,Path To Images,Filenames
SEM-UBC HET-5833,website/Main/Hemiptera/Veliidae/,"Rhagovelia obesa (3lateral)   SEM-UBC HET-5833.jpg, Rhagovelia obesa (2ventral)   SEM-UBC HET-5833.jpg, Rhagovelia obesa (1dorsal)   SEM-UBC HET-5833.jpg, "
SEM-UBC HET-1371,website/Main/Hemiptera/Veliidae/,"Microvelia americana (2ventral)   SEM-UBC HET-1371.jpg, Microvelia americana (3lateral)   SEM-UBC HET-1371.jpg, Microvelia americana (1dorsal)   SEM-UBC HET-1371.jpg, Microvelia americana (4front)   SEM-UBC HET-1371.jpg, "
SEM-UBC HET-1487,website/Main/Hemiptera/Veliidae/,"Microvelia buenoi (3lateral).jpg, Microvelia buenoi (1dorsal).jpg, Microvelia buenoi (2ventral).jpg, "
SEM-UBC HET-1636,website/Main/Hemiptera/Veliidae/,"Paravelia brachialis (1dorsal)   SEM-UBC HET-1636.jpg, Paravelia brachialis (3lateral)   SEM-UBC HET-1636.jpg, Paravelia brachialis (2ventral)   SEM-UBC HET-1636.jpg, "
SEM-UBC HET-1645,website/Main/Hemiptera/Veliidae/,"Rhagovelia oriander (1dorsal)   SEM-UBC HET-1645.jpg, Rhagovelia oriander (3lateral)   SEM-UBC HET-1645.jpg, Rhagovelia oriander (2ventral)   SEM-UBC HET-1645.jpg, "
SEM-UBC HET-1637,website/Main/Hemiptera/Veliidae/,"Paravelia stagnalis (1dorsal)   SEM-UBC HET-1637.jpg, Paravelia stagnalis (4front)   SEM-UBC HET-1637.jpg, Paravelia stagnalis (3lateral)   SEM-UBC HET-1637.jpg, Paravelia stagnalis (2ventral)   SEM-UBC HET-1637.jpg, "
SEM-UBC HET-5802,website/Main/Hemiptera/Veliidae/,"Velia caprai (3lateral)   SEM-UBC HET-5802.jpg, Velia caprai (1dorsal)   SEM-UBC HET-5802.jpg, Velia caprai x3 (1dorsal)   SEM-UBC HET-5802.jpg, "
SEM-UBC HET-1635,website/Main/Hemiptera/Veliidae/,"Microvelia pulchella (2ventral).jpg, Microvelia pulchella (1dorsal).jpg, Microvelia pulchella (3lateral).jpg, "
SEM-UBC HET-5850,website/Main/Hemiptera/Veliidae/,"Rhagovelia knighti (2ventral)   SEM-UBC HET-5850.jpg, Rhagovelia knighti (4front)   SEM-UBC HET-5850.jpg, Rhagovelia knighti (3lateral)   SEM-UBC HET-5850.jpg, Rhagovelia knighti (1dorsal)   SEM-UBC HET-5850.jpg, "
SEM-UBC HET-0837,website/Main/Hemiptera/Ochteridae/,"Ochterus banksi (2ventral) .jpg, Ochterus banksi (1dorsal) .jpg, Ochterus banksi (3lateral) .jpg, Ochterus banksi (4front) .jpg, "
SEM-UBC HOM-0078,website/Main/Hemiptera/Clastopteridae/,"Clastoptera proteus form A (2ventral) .jpg, Clastoptera proteus form A (4front) .jpg, Clastoptera proteus form A (1dorsal) .jpg, Clastoptera proteus form A (3lateral) .jpg, "
SEM-UBC HOM-0074,website/Main/Hemiptera/Clastopteridae/,"Clastoptera brunnea form B (3lateral) .jpg, Clastoptera brunnea form B (2ventral) .jpg, Clastoptera brunnea form B (1dorsal) .jpg, "
SEM-UBC HOM-0071,website/Main/Hemiptera/Clastopteridae/,"Clastoptera atrapicata form A (2ventral) .jpg, Clastoptera atrapicata form A (4front) .jpg, Clastoptera atrapicata form A (1dorsal) .jpg, Clastoptera atrapicata form A (3lateral) .jpg, "
SEM-UBC HOM-0075,website/Main/Hemiptera/Clastopteridae/,"Clastoptera doeringae (3lateral) .jpg, Clastoptera doeringae (1dorsal) .jpg, Clastoptera doeringae (2ventral) .jpg, "
SEM-UBC HOM-0077,website/Main/Hemiptera/Clastopteridae/,"Clastoptera ovata (3lateral) .jpg, Clastoptera ovata (1dorsal) .jpg, Clastoptera ovata (2ventral) .jpg, "
SEM-UBC HOM-0079,website/Main/Hemiptera/Clastopteridae/,"Clastoptera proteus form B (3lateral) .jpg, Clastoptera proteus form B (2ventral) .jpg, Clastoptera proteus form B (1dorsal) .jpg, "
SEM-UBC HOM-0072,website/Main/Hemiptera/Clastopteridae/,"Clastoptera atrapicata form B (3lateral) .jpg, Clastoptera atrapicata form B (1dorsal) .jpg, Clastoptera atrapicata form B (2ventral) .jpg, "
SEM-UBC HOM-0073,website/Main/Hemiptera/Clastopteridae/,"Clastoptera brunnea form A (2ventral) .jpg, Clastoptera brunnea form A (3lateral) .jpg, Clastoptera brunnea form A (1dorsal) .jpg, "
SEM-UBC HOM-0076,website/Main/Hemiptera/Clastopteridae/,"Clastoptera obtusa (3lateral) .jpg, Clastoptera obtusa (2ventral) .jpg, Clastoptera obtusa (1dorsal) .jpg, "
SEM-UBC HOM-0080,website/Main/Hemiptera/Clastopteridae/,"Clastoptera tricincta (2ventral) .jpg, Clastoptera tricincta (1dorsal) .jpg, Clastoptera tricincta (3lateral) .jpg, "
SEM-UBC LYG-0025,website/Main/Hemiptera/Orsillidae/,"Nysius raphanus (1dorsal) .jpg, Nysius raphanus (3lateral) _0001.jpg, Nysius raphanus (2ventral) .jpg, "
SEM-UBC LYG-0027,website/Main/Hemiptera/Orsillidae/,"Xyonysius californicus californicus (4front) _0001.jpg, Xyonysius californicus californicus (2ventral) .jpg, Xyonysius californicus californicus (3lateral) .jpg, Xyonysius californicus californicus (1dorsal) .jpg, "
SEM-UBC LYG-0024,website/Main/Hemiptera/Orsillidae/,"Nysius paludicola (1dorsal) .jpg, Nysius paludicola (2ventral).jpg, Nysius paludicola (3lateral) .jpg, "
SEM-UBC LYG-0026,website/Main/Hemiptera/Orsillidae/,"Nysius tenellus (1dorsal) .jpg, Nysius tenellus (3lateral) .jpg, Nysius tenellus (2ventral) .jpg, "
SEM-UBC LYG-0020,website/Main/Hemiptera/Orsillidae/,"Neortholomus scolopax (1dorsal).jpg, Neortholomus scolopax (4front).jpg, Neortholomus scolopax (3lateral).jpg, Neortholomus scolopax (2ventral).jpg, "
SEM-UBC LYG-0021,website/Main/Hemiptera/Orsillidae/,"Nysius angustatus (3lateral) .jpg, Nysius angustatus (1dorsal) .jpg, Nysius angustatus (4front) .jpg, Nysius angustatus (2ventral) .jpg, "
SEM-UBC LYG-0022,website/Main/Hemiptera/Orsillidae/,"Nysius fuscovittatus (3lateral) .jpg, Nysius fuscovittatus (1dorsal) .jpg, Nysius fuscovittatus (2ventral) .jpg, Nysius fuscovittatus (4front) .jpg, "
SEM-UBC LYG-0023,website/Main/Hemiptera/Orsillidae/,"Nysius niger (2ventral) .jpg, Nysius niger (3lateral) .jpg, Nysius niger (1dorsal) .jpg, "
SEM-UBC HET-0169,website/Main/Hemiptera/Ceratocombidae/,"Ceratocombus vagans (3lateral).jpg, Ceratocombus vagans (2ventral).jpg, Ceratocombus vagans (1dorsal).jpg, "
SEM-UBC SAL-0388,website/Main/Hemiptera/Saldidae/,"Saldula dispersa (3lateral).jpg, Saldula dispersa (1dorsal).jpg, Saldula dispersa (2ventral).jpg, "
SEM-UBC SAL-0030,website/Main/Hemiptera/Saldidae/,"Ioscytus politus politus (3lateral).jpg, Ioscytus politus politus (2ventral).jpg, Ioscytus politus politus (1dorsal).jpg, "
SEM-UBC SAL-1603,website/Main/Hemiptera/Saldidae/,"Saldula confluenta (1dorsal) SEM-UBC SAL-1603.jpg, Saldula confluenta (3lateral) SEM-UBC SAL-1603.jpg, Saldula confluenta (2ventral) SEM-UBC SAL-1603.jpg, "
SEM-UBC SAL-0203,website/Main/Hemiptera/Saldidae/,"Pentacora ligata (2ventral) SEM-UBC SAL-0203.jpg, Pentacora ligata (3lateral) SEM-UBC SAL-0203.jpg, Pentacora ligata (1dorsal)  SEM-UBC SAL-0203.jpg, "
SEM-UBC SAL-1287,website/Main/Hemiptera/Saldidae/,"Saldula pallipes complex form D (3lateral).jpg, Saldula pallipes complex form D (1dorsal).jpg, Saldula pallipes complex form D (2ventral).jpg, "
SEM-UBC SAL-1608,website/Main/Hemiptera/Saldidae/,"Salda anthracina (3lateral) SEM-UBC SAL-1608.jpg, Salda anthracina (1dorsal)  SEM-UBC SAL-1608.jpg, Salda anthracina (2ventral) SEM-UBC SAL-1608.jpg, "
SEM-UBC SAL-0068,website/Main/Hemiptera/Saldidae/,"Lampracanthia crassicornis (2ventral).jpg, Lampracanthia crassicornis (1dorsal).jpg, Lampracanthia crassicornis (3lateral).jpg, "
SEM-UBC SAL-0205,website/Main/Hemiptera/Saldidae/,"Pentacora signoreti (1dorsal) SEM-UBC SAL-0205.jpg, Pentacora signoreti (3lateral)  SEM-UBC SAL-0205.jpg, Pentacora signoreti (2ventral) SEM-UBC SAL-0205.jpg, "
SEM-UBC SAL-0354,website/Main/Hemiptera/Saldidae/,"Saldula ablusa (3lateral) SEM-UBC SAL-0354.jpg, Saldula ablusa (1dorsal)  SEM-UBC SAL-0354.jpg, Saldula ablusa (2ventral) SEM-UBC SAL-0354.jpg, "
SEM-UBC SAL-0262,website/Main/Hemiptera/Saldidae/,"Salda lugubris (3lateral).jpg, Salda lugubris (1dorsal).jpg, Salda lugubris (2ventral).jpg, "
SEM-UBC SAL-1476,website/Main/Hemiptera/Saldidae/,"Teloleuca bifasciata (1dorsal).jpg, Teloleuca bifasciata (3lateral).jpg, Teloleuca bifasciata (2ventral).jpg, "
SEM-UBC SAL-1122,website/Main/Hemiptera/Saldidae/,"Saldula pallipes complex form C (3lateral).jpg, Saldula pallipes complex form C (1dorsal).jpg, Saldula pallipes complex form C (2ventral).jpg, "
SEM-UBC SAL-0282,website/Main/Hemiptera/Saldidae/,"Salda obscura (1dorsal).jpg, Salda obscura (3lateral).jpg, Salda obscura (2ventral).jpg, "
SEM-UBC SAL-0334,website/Main/Hemiptera/Saldidae/,"Salda provancheri (1dorsal).jpg, Salda provancheri (2ventral).jpg, Salda provancheri (3lateral).jpg, "
SEM-UBC SAL-0738,website/Main/Hemiptera/Saldidae/,"Saldula nigrita (3lateral).jpg, Saldula nigrita (1dorsal).jpg, Saldula nigrita (2ventral).jpg, "
SEM-UBC SAL-0958,website/Main/Hemiptera/Saldidae/,"Saldula pallipes complex form B (3lateral).jpg, Saldula pallipes complex form B (2ventral).jpg, Saldula pallipes complex form B (1dorsal).jpg, "
SEM-UBC SAL-0131,website/Main/Hemiptera/Saldidae/,"Micracanthia bergrothi (1dorsal).jpg, Micracanthia bergrothi (2ventral).jpg, Micracanthia bergrothi (3lateral).jpg, "
